location,neighborhood,lon,lat,,,
"McCoppin Hub Plaza","The Hub",-122.42283545767204,37.771568480706094,,,
"Temoâ€™s Cafe","24th Street",-122.41214498665508,37.75275374468522,,,
"Sisters Coffee Shop","South Mission",-122.42141332111348,37.75812134927639,,,
"Ocean Beach Cafe","Ocean Beach",-122.50996039807295,37.774537067821846,,,
"Gambit Lounge","Hayes Valley",-122.42600540174324,37.77633876484442,,,
"Jane on Larkin","Lower Polk",-122.41832054868155,37.7864561304852,,,
"Another Cafe","Lower Nob Hill",-122.4154325309074,37.790192327964775,," ",
Driftwood,"West SoMa",-122.41034958019138,37.77448746726043,,,
"The Social Study",Fillmore,-122.43246531241415,37.7841528845859,,,
Manny's,"Northern Mission",-122.42171400182781,37.765089643419664,,,
"Grata Wines","South Bayview",-122.39235465845478,37.72960634161797,,,
"Ocean Ale House",Ingleside,-122.45679258407081,37.72417099761681,,,
"All Good Pizza",Bayview,-122.38978297759056,37.738644720537266,,,","
